iter	Logloss
0	0.6677526479
1	0.6509292275
2	0.6362817588
3	0.6226364976
4	0.6084958886
5	0.5931320119
6	0.5741654084
7	0.5572815226
8	0.5457971112
9	0.5295240899
10	0.5196782245
11	0.5046371902
12	0.4956793264
13	0.4818283922
14	0.4726746574
15	0.4596525703
16	0.4524560068
17	0.445559946
18	0.4393544202
19	0.4323857554
20	0.4263762145
21	0.4203014783
22	0.4140090729
23	0.4077828031
24	0.3984305473
25	0.3899955002
26	0.3850914593
27	0.3772081505
28	0.3691091101
29	0.3646654829
30	0.3607029563
31	0.3541499404
32	0.350325783
33	0.3441728295
34	0.3408001384
35	0.3373842783
36	0.3316462612
37	0.3282815486
38	0.3249283193
39	0.3220514606
40	0.3169143634
41	0.3139438148
42	0.310923002
43	0.3063722356
44	0.3037964779
45	0.3016327218
46	0.2992896784
47	0.2968734328
48	0.292808953
49	0.2905664382
50	0.2869850536
51	0.284885923
52	0.2828326399
53	0.2808199045
54	0.278570152
55	0.2766426151
56	0.2746500822
57	0.2712018238
58	0.2693601122
59	0.2661630326
60	0.2645200984
61	0.2626479547
62	0.2609777798
63	0.2596032635
64	0.2567697733
65	0.2540346461
66	0.2528554309
67	0.2511034199
68	0.2498273235
69	0.2470805135
70	0.2446693114
71	0.2431928989
72	0.241651633
73	0.2404220111
74	0.239059206
75	0.2368094963
76	0.234712688
77	0.2335640759
78	0.2312633468
79	0.229257678
80	0.2280488286
81	0.2271257502
82	0.2253165793
83	0.2235251461
84	0.2224612623
85	0.2214882616
86	0.2204433979
87	0.2195391544
88	0.2178730827
89	0.2171069233
90	0.2161060266
91	0.2148279071
92	0.2137698789
93	0.2122099348
94	0.2113766995
95	0.2102775111
96	0.209407176
97	0.2084730275
98	0.2071296699
99	0.2064097571
100	0.2052507872
101	0.2042468843
102	0.2034271269
103	0.2027659127
104	0.2014958001
105	0.2007473359
106	0.1994292529
107	0.1982602957
108	0.1973785201
109	0.1967766029
110	0.195990127
111	0.194972162
112	0.1943004904
113	0.1935289456
114	0.1928456767
115	0.1921749881
116	0.1915758776
117	0.1909318171
118	0.1901096661
119	0.18958826
120	0.1890852899
121	0.1884444207
122	0.1879146658
123	0.1873309708
124	0.1867289254
125	0.1863140886
126	0.1855766517
127	0.1849778689
128	0.1844487266
129	0.1834735461
130	0.182833774
131	0.1821522432
132	0.1814432865
133	0.1808402153
134	0.180277706
135	0.1795135128
136	0.179022496
137	0.1785856616
138	0.1781010846
139	0.1775451575
140	0.1769263288
141	0.176379121
142	0.1759000719
143	0.175405009
144	0.1749602673
145	0.174503444
146	0.1740681482
147	0.173379565
148	0.172730461
149	0.1722474085
150	0.1718382991
